,0
201,"2018-06-24 16:10:16 52501,34.60"
202,"2018-06-24 16:10:20 52471,34.58"
203,"2018-06-24 16:10:24 52551,34.63"
204,"2018-06-24 16:10:27 52481,34.58"
205,"2018-06-24 16:10:31 51961,34.20"
206,"2018-06-24 16:10:34 52501,34.60"
207,"2018-06-24 16:10:38 52481,34.58"
208,"2018-06-24 16:10:41 52271,34.43"
209,"2018-06-24 16:10:45 52231,34.40"
210,"2018-06-24 16:10:48 52381,34.51"
211,"2018-06-24 16:10:52 51981,34.21"
212,"2018-06-24 16:10:55 52661,34.72"
213,"2018-06-24 16:10:59 51881,34.14"
214,"2018-06-24 16:11:02 52111,34.31"
215,"2018-06-24 16:11:06 52511,34.61"
216,"2018-06-24 16:11:09 52611,34.68"
217,"2018-06-24 16:11:13 52411,34.53"
218,"2018-06-24 16:11:16 52481,34.58"
219,"2018-06-24 16:11:20 52741,34.78"
220,"2018-06-24 16:11:23 52171,34.36"
221,"2018-06-24 16:11:27 52251,34.41"
222,"2018-06-24 16:11:30 52371,34.50"
223,"2018-06-24 16:11:34 52501,34.60"
224,"2018-06-24 16:11:37 52371,34.51"
225,"2018-06-24 16:11:41 52421,34.54"
226,"2018-06-24 16:11:44 51991,34.22"
227,"2018-06-24 16:11:48 52321,34.47"
228,"2018-06-24 16:11:51 52251,34.41"
229,"2018-06-24 16:11:55 51821,34.09"
230,"2018-06-24 16:11:58 51861,34.12"
231,"2018-06-24 16:12:02 51861,34.13"
232,"2018-06-24 16:12:05 52591,34.66"
233,"2018-06-24 16:12:09 52601,34.67"
234,"2018-06-24 16:12:12 52641,34.70"
235,"2018-06-24 16:12:16 52291,34.44"
236,"2018-06-24 16:12:19 52061,34.28"
237,"2018-06-24 16:12:23 52221,34.39"
238,"2018-06-24 16:12:26 52331,34.48"
239,"2018-06-24 16:12:30 52341,34.48"
240,"2018-06-24 16:12:33 52491,34.59"
241,"2018-06-24 16:12:37 52911,34.90"
242,"2018-06-24 16:12:40 52251,34.42"
243,"2018-06-24 16:12:44 52471,34.57"
244,"2018-06-24 16:12:47 52351,34.49"
245,"2018-06-24 16:12:51 52441,34.55"
246,"2018-06-24 16:12:55 52571,34.65"
247,"2018-06-24 16:12:58 51821,34.09"
248,"2018-06-24 16:13:02 51971,34.21"
249,"2018-06-24 16:13:05 52051,34.26"
250,"2018-06-24 16:13:09 52261,34.42"
251,"2018-06-24 16:13:12 52171,34.35"
252,"2018-06-24 16:13:16 52691,34.74"
253,"2018-06-24 16:13:19 52191,34.37"
254,"2018-06-24 16:13:23 52031,34.25"
255,"2018-06-24 16:13:26 52041,34.25"
256,"2018-06-24 16:13:30 52461,34.57"
257,"2018-06-24 16:13:33 52111,34.31"
258,"2018-06-24 16:13:37 52341,34.48"
259,"2018-06-24 16:13:40 52661,34.72"
260,"2018-06-24 16:13:44 52251,34.41"
261,"2018-06-24 16:13:47 52231,34.40"
262,"2018-06-24 16:13:51 51861,34.12"
263,"2018-06-24 16:13:54 52711,34.75"
264,"2018-06-24 16:13:58 51821,34.09"
265,"2018-06-24 16:14:01 51821,34.09"
266,"2018-06-24 16:14:05 52501,34.60"
267,"2018-06-24 16:14:08 52381,34.51"
268,"2018-06-24 16:14:12 52201,34.38"
269,"2018-06-24 16:14:15 52341,34.48"
270,"2018-06-24 16:14:19 52521,34.61"
271,"2018-06-24 16:14:22 52221,34.39"
272,"2018-06-24 16:14:26 52291,34.45"
273,"2018-06-24 16:14:29 52301,34.45"
274,"2018-06-24 16:14:33 52441,34.55"
275,"2018-06-24 16:14:36 52281,34.43"
276,"2018-06-24 16:14:40 52151,34.34"
277,"2018-06-24 16:14:43 52361,34.49"
278,"2018-06-24 16:14:47 53031,34.99"
279,"2018-06-24 16:14:50 53661,35.46"
280,"2018-06-24 16:14:54 53271,35.17"
281,"2018-06-24 16:14:57 52201,34.38"
282,"2018-06-24 16:15:01 52281,34.43"
283,"2018-06-24 16:15:04 53751,35.52"
284,"2018-06-24 16:15:08 54371,35.99"
285,"2018-06-24 16:15:11 54271,35.91"
286,"2018-06-24 16:15:15 54201,35.86"
287,"2018-06-24 16:15:18 54211,35.87"
288,"2018-06-24 16:15:22 54281,35.93"
289,"2018-06-24 16:15:25 54121,35.80"
290,"2018-06-24 16:15:29 54091,35.78"
291,"2018-06-24 16:15:33 54231,35.88"
292,"2018-06-24 16:15:36 53941,35.67"
293,"2018-06-24 16:15:40 54011,35.72"
294,"2018-06-24 16:15:43 53851,35.60"
295,"2018-06-24 16:15:47 54061,35.76"
296,"2018-06-24 16:15:50 54211,35.87"
297,"2018-06-24 16:15:54 54041,35.74"
298,"2018-06-24 16:15:57 53671,35.47"
299,"2018-06-24 16:16:01 53771,35.54"
300,"2018-06-24 16:16:04 54211,35.87"
301,"2018-06-24 16:16:08 54061,35.76"
302,"2018-06-24 16:16:11 53791,35.56"
303,"2018-06-24 16:16:15 53891,35.63"
304,"2018-06-24 16:16:18 53681,35.48"
305,"2018-06-24 16:16:22 53791,35.55"
306,"2018-06-24 16:16:25 54121,35.80"
