DD/MM/YYYY,Date (number),MM (mo),DD (dy),hh (hr),Average of WTMP (deg C)
6/18/2017,42904.71,6,18,17,29.22
6/18/2017,42904.75,6,18,18,29.39
6/18/2017,42904.79,6,18,19,29.39
6/18/2017,42904.83,6,18,20,29.36
6/18/2017,42904.88,6,18,21,29.27
6/18/2017,42904.92,6,18,22,29.09
6/18/2017,42904.96,6,18,23,28.92
6/19/2017,42905.00,6,19,0,28.76
6/19/2017,42905.04,6,19,1,28.64
6/19/2017,42905.08,6,19,2,28.59
6/19/2017,42905.13,6,19,3,28.43
6/19/2017,42905.17,6,19,4,28.2
6/19/2017,42905.21,6,19,5,28.21
6/19/2017,42905.25,6,19,6,28.1
6/19/2017,42905.29,6,19,7,28.07
6/19/2017,42905.33,6,19,8,28.16
6/19/2017,42905.38,6,19,9,28.2
6/19/2017,42905.42,6,19,10,28.26
6/19/2017,42905.46,6,19,11,28.26
6/19/2017,42905.50,6,19,12,28.23
6/19/2017,42905.54,6,19,13,28.2
6/19/2017,42905.58,6,19,14,28.38
6/19/2017,42905.63,6,19,15,28.59
6/19/2017,42905.67,6,19,16,28.75
6/19/2017,42905.71,6,19,17,28.92
6/19/2017,42905.75,6,19,18,29.1
6/19/2017,42905.79,6,19,19,28.95
6/19/2017,42905.83,6,19,20,28.87
6/19/2017,42905.88,6,19,21,28.79
6/19/2017,42905.92,6,19,22,28.66
6/19/2017,42905.96,6,19,23,28.53
6/20/2017,42906.00,6,20,0,28.5
6/20/2017,42906.04,6,20,1,28.4
6/20/2017,42906.08,6,20,2,28.28
6/20/2017,42906.13,6,20,3,28.21
6/20/2017,42906.17,6,20,4,28.12
6/20/2017,42906.21,6,20,5,28.01
6/20/2017,42906.25,6,20,6,28.01
6/20/2017,42906.29,6,20,7,28
6/20/2017,42906.33,6,20,8,28
6/20/2017,42906.38,6,20,9,27.94
6/20/2017,42906.42,6,20,10,27.99
6/20/2017,42906.46,6,20,11,28.01
6/20/2017,42906.50,6,20,12,28.08
6/20/2017,42906.54,6,20,13,28.16
6/20/2017,42906.58,6,20,14,28.46
6/20/2017,42906.63,6,20,15,28.87
6/20/2017,42906.67,6,20,16,29.12
6/20/2017,42906.71,6,20,17,29.28
6/20/2017,42906.75,6,20,18,29.27
6/20/2017,42906.79,6,20,19,29.11
6/20/2017,42906.83,6,20,20,29.05
6/20/2017,42906.88,6,20,21,29
6/20/2017,42906.92,6,20,22,28.83
6/20/2017,42906.96,6,20,23,28.65
6/21/2017,42907.00,6,21,0,28.49
6/21/2017,42907.04,6,21,1,28.36
6/21/2017,42907.08,6,21,2,28.26
6/21/2017,42907.13,6,21,3,28.22
6/21/2017,42907.17,6,21,4,28.02
6/21/2017,42907.21,6,21,5,27.97
6/21/2017,42907.25,6,21,6,27.99
6/21/2017,42907.29,6,21,7,27.99
6/21/2017,42907.33,6,21,8,27.96
6/21/2017,42907.38,6,21,9,27.88
6/21/2017,42907.42,6,21,10,27.9
6/21/2017,42907.46,6,21,11,27.98
6/21/2017,42907.50,6,21,12,27.97
6/21/2017,42907.54,6,21,13,28.2
6/21/2017,42907.58,6,21,14,28.49
6/21/2017,42907.63,6,21,15,28.9
6/21/2017,42907.67,6,21,16,29.3
6/21/2017,42907.71,6,21,17,29.37
6/21/2017,42907.75,6,21,18,29.39
6/21/2017,42907.79,6,21,19,29.4
6/21/2017,42907.83,6,21,20,29.28
6/21/2017,42907.88,6,21,21,29.13
6/21/2017,42907.92,6,21,22,28.93
6/21/2017,42907.96,6,21,23,28.77
6/22/2017,42908.00,6,22,0,28.56
6/22/2017,42908.04,6,22,1,28.5
6/22/2017,42908.08,6,22,2,28.42
6/22/2017,42908.13,6,22,3,28.33
6/22/2017,42908.17,6,22,4,28.24
6/22/2017,42908.21,6,22,5,28.12
6/22/2017,42908.25,6,22,6,28.09
6/22/2017,42908.29,6,22,7,28
6/22/2017,42908.33,6,22,8,28
6/22/2017,42908.38,6,22,9,27.97
6/22/2017,42908.42,6,22,10,27.91
6/22/2017,42908.46,6,22,11,27.94
6/22/2017,42908.50,6,22,12,28.09
6/22/2017,42908.54,6,22,13,28.33
6/22/2017,42908.58,6,22,14,28.56
6/22/2017,42908.63,6,22,15,29.09
6/22/2017,42908.67,6,22,16,29.43
6/22/2017,42908.71,6,22,17,29.34
6/22/2017,42908.75,6,22,18,29.47
6/22/2017,42908.79,6,22,19,29.38
6/22/2017,42908.83,6,22,20,29.37
6/22/2017,42908.88,6,22,21,29.19
6/22/2017,42908.92,6,22,22,29.11
6/22/2017,42908.96,6,22,23,28.98
6/23/2017,42909.00,6,23,0,28.81
6/23/2017,42909.04,6,23,1,28.58
6/23/2017,42909.08,6,23,2,28.45
6/23/2017,42909.13,6,23,3,28.37
6/23/2017,42909.17,6,23,4,28.25
6/23/2017,42909.21,6,23,5,28.14
6/23/2017,42909.25,6,23,6,28.01
6/23/2017,42909.29,6,23,7,27.88
6/23/2017,42909.33,6,23,8,27.84
6/23/2017,42909.38,6,23,9,27.98
6/23/2017,42909.42,6,23,10,27.91
6/23/2017,42909.46,6,23,11,28.01
6/23/2017,42909.50,6,23,12,28.17
6/23/2017,42909.54,6,23,13,28.25
6/23/2017,42909.58,6,23,14,28.49
6/23/2017,42909.63,6,23,15,28.95
6/23/2017,42909.67,6,23,16,29.29
6/23/2017,42909.71,6,23,17,29.34
6/23/2017,42909.75,6,23,18,29.38
6/23/2017,42909.79,6,23,19,29.33
6/23/2017,42909.83,6,23,20,29.31
6/23/2017,42909.88,6,23,21,29.38
6/23/2017,42909.92,6,23,22,29.18
6/23/2017,42909.96,6,23,23,29.03
6/24/2017,42910.00,6,24,0,28.94
6/24/2017,42910.04,6,24,1,28.78
6/24/2017,42910.08,6,24,2,28.68
6/24/2017,42910.13,6,24,3,28.55
6/24/2017,42910.17,6,24,4,28.49
6/24/2017,42910.21,6,24,5,28.38
6/24/2017,42910.25,6,24,6,28.32
6/24/2017,42910.29,6,24,7,28.2
6/24/2017,42910.33,6,24,8,28.1
6/24/2017,42910.38,6,24,9,28.1
6/24/2017,42910.42,6,24,10,28.1
6/24/2017,42910.46,6,24,11,28.02
6/24/2017,42910.50,6,24,12,28.12
6/24/2017,42910.54,6,24,13,28.31
6/24/2017,42910.58,6,24,14,28.46
6/24/2017,42910.63,6,24,15,28.78
6/24/2017,42910.67,6,24,16,29.24
6/24/2017,42910.71,6,24,17,29.34
6/24/2017,42910.75,6,24,18,29.24
6/24/2017,42910.79,6,24,19,29.46
6/24/2017,42910.83,6,24,20,29.44
6/24/2017,42910.88,6,24,21,29.47
6/24/2017,42910.92,6,24,22,29.36
6/24/2017,42910.96,6,24,23,29.13
6/25/2017,42911.00,6,25,0,29.1
6/25/2017,42911.04,6,25,1,28.98
6/25/2017,42911.08,6,25,2,28.87
6/25/2017,42911.13,6,25,3,28.72
6/25/2017,42911.17,6,25,4,28.6
6/25/2017,42911.21,6,25,5,28.5
6/25/2017,42911.25,6,25,6,28.45
6/25/2017,42911.29,6,25,7,28.31
6/25/2017,42911.33,6,25,8,28.21
6/25/2017,42911.38,6,25,9,28.15
6/25/2017,42911.42,6,25,10,28.16
6/25/2017,42911.46,6,25,11,28.18
6/25/2017,42911.50,6,25,12,28.2
6/25/2017,42911.54,6,25,13,28.12
6/25/2017,42911.58,6,25,14,28.37
6/25/2017,42911.63,6,25,15,28.92
6/25/2017,42911.67,6,25,16,29.27
6/25/2017,42911.71,6,25,17,29.58
6/25/2017,42911.75,6,25,18,29.59
6/25/2017,42911.79,6,25,19,29.48
6/25/2017,42911.83,6,25,20,29.35
6/25/2017,42911.88,6,25,21,29.33
6/25/2017,42911.92,6,25,22,29.19
6/25/2017,42911.96,6,25,23,29.03
6/26/2017,42912.00,6,26,0,28.84
6/26/2017,42912.04,6,26,1,28.71
6/26/2017,42912.08,6,26,2,28.57
6/26/2017,42912.13,6,26,3,28.5
6/26/2017,42912.17,6,26,4,28.41
6/26/2017,42912.21,6,26,5,28.4
6/26/2017,42912.25,6,26,6,28.39
6/26/2017,42912.29,6,26,7,28.3
6/26/2017,42912.33,6,26,8,28.25
6/26/2017,42912.38,6,26,9,28.2
6/26/2017,42912.42,6,26,10,28.2
6/26/2017,42912.46,6,26,11,28.2
6/26/2017,42912.50,6,26,12,28.27
6/26/2017,42912.54,6,26,13,28.34
6/26/2017,42912.58,6,26,14,28.52
6/26/2017,42912.63,6,26,15,28.84
6/26/2017,42912.67,6,26,16,29.29
6/26/2017,42912.71,6,26,17,29.46
6/26/2017,42912.75,6,26,18,29.57
6/26/2017,42912.79,6,26,19,29.56
6/26/2017,42912.83,6,26,20,29.53
6/26/2017,42912.88,6,26,21,29.56
6/26/2017,42912.92,6,26,22,29.35
6/26/2017,42912.96,6,26,23,29.1
6/27/2017,42913.00,6,27,0,28.87
6/27/2017,42913.04,6,27,1,28.52
6/27/2017,42913.08,6,27,2,28.4
6/27/2017,42913.13,6,27,3,28.4
6/27/2017,42913.17,6,27,4,28.4
6/27/2017,42913.21,6,27,5,28.39
6/27/2017,42913.25,6,27,6,28.3
6/27/2017,42913.29,6,27,7,28.3
6/27/2017,42913.33,6,27,8,28.3
6/27/2017,42913.38,6,27,9,28.3
6/27/2017,42913.42,6,27,10,28.26
6/27/2017,42913.46,6,27,11,28.28
6/27/2017,42913.50,6,27,12,28.3
6/27/2017,42913.54,6,27,13,28.43
6/27/2017,42913.58,6,27,14,28.68
6/27/2017,42913.63,6,27,15,28.92
6/27/2017,42913.67,6,27,16,29.35
6/27/2017,42913.71,6,27,17,29.49
6/27/2017,42913.75,6,27,18,29.58
6/27/2017,42913.79,6,27,19,29.92
6/27/2017,42913.83,6,27,20,30.04
6/27/2017,42913.88,6,27,21,29.53
6/27/2017,42913.92,6,27,22,29.25
6/27/2017,42913.96,6,27,23,29.31
6/28/2017,42914.00,6,28,0,29.13
6/28/2017,42914.04,6,28,1,29.04
6/28/2017,42914.08,6,28,2,28.92
6/28/2017,42914.13,6,28,3,28.78
6/28/2017,42914.17,6,28,4,28.67
6/28/2017,42914.21,6,28,5,28.6
6/28/2017,42914.25,6,28,6,28.58
6/28/2017,42914.29,6,28,7,28.5
6/28/2017,42914.33,6,28,8,28.5
6/28/2017,42914.38,6,28,9,28.49
6/28/2017,42914.42,6,28,10,28.49
6/28/2017,42914.46,6,28,11,28.41
6/28/2017,42914.50,6,28,12,28.41
6/28/2017,42914.54,6,28,13,28.55
6/28/2017,42914.58,6,28,14,28.69
6/28/2017,42914.63,6,28,15,29.15
6/28/2017,42914.67,6,28,16,29.61
6/28/2017,42914.71,6,28,17,29.73
6/28/2017,42914.75,6,28,18,29.83
6/28/2017,42914.79,6,28,19,29.82
6/28/2017,42914.83,6,28,20,30.03
6/28/2017,42914.88,6,28,21,29.92
6/28/2017,42914.92,6,28,22,29.74
6/28/2017,42914.96,6,28,23,29.68
6/29/2017,42915.00,6,29,0,29.46
6/29/2017,42915.04,6,29,1,29.21
6/29/2017,42915.08,6,29,2,28.94
6/29/2017,42915.13,6,29,3,28.76
6/29/2017,42915.17,6,29,4,28.62
6/29/2017,42915.21,6,29,5,28.52
6/29/2017,42915.25,6,29,6,28.48
6/29/2017,42915.29,6,29,7,28.45
6/29/2017,42915.33,6,29,8,28.4
6/29/2017,42915.38,6,29,9,28.32
6/29/2017,42915.42,6,29,10,28.24
6/29/2017,42915.46,6,29,11,28.2
6/29/2017,42915.50,6,29,12,28.34
6/29/2017,42915.54,6,29,13,28.4
6/29/2017,42915.58,6,29,14,28.35
6/29/2017,42915.63,6,29,15,28.21
6/29/2017,42915.67,6,29,16,28.18
6/29/2017,42915.71,6,29,17,28.35
6/29/2017,42915.75,6,29,18,28.4
6/29/2017,42915.79,6,29,19,28.48
6/29/2017,42915.83,6,29,20,28.4
6/29/2017,42915.88,6,29,21,28.4
6/29/2017,42915.92,6,29,22,28.36
6/29/2017,42915.96,6,29,23,28.21
6/30/2017,42916.00,6,30,0,28.19
6/30/2017,42916.04,6,30,1,28.16
6/30/2017,42916.08,6,30,2,28.2
6/30/2017,42916.13,6,30,3,28.17
6/30/2017,42916.17,6,30,4,28.1
6/30/2017,42916.21,6,30,5,28.06
6/30/2017,42916.25,6,30,6,28.05
6/30/2017,42916.29,6,30,7,28.1
6/30/2017,42916.33,6,30,8,28.1
6/30/2017,42916.38,6,30,9,28.1
6/30/2017,42916.42,6,30,10,28.1
6/30/2017,42916.46,6,30,11,28.09
6/30/2017,42916.50,6,30,12,28.11
6/30/2017,42916.54,6,30,13,28.24
6/30/2017,42916.58,6,30,14,28.46
6/30/2017,42916.63,6,30,15,28.83
6/30/2017,42916.67,6,30,16,29.09
6/30/2017,42916.71,6,30,17,29.36
6/30/2017,42916.75,6,30,18,29.4
6/30/2017,42916.79,6,30,19,29.41
6/30/2017,42916.83,6,30,20,29.46
6/30/2017,42916.88,6,30,21,29.46
6/30/2017,42916.92,6,30,22,29.32
6/30/2017,42916.96,6,30,23,29.36
7/1/2017,42917.00,7,1,0,29.21
7/1/2017,42917.04,7,1,1,29.05
7/1/2017,42917.08,7,1,2,28.92
7/1/2017,42917.13,7,1,3,28.77
7/1/2017,42917.17,7,1,4,28.68
7/1/2017,42917.21,7,1,5,28.58
7/1/2017,42917.25,7,1,6,28.4
7/1/2017,42917.29,7,1,7,28.36
7/1/2017,42917.33,7,1,8,28.28
7/1/2017,42917.38,7,1,9,28.2
7/1/2017,42917.42,7,1,10,28.2
7/1/2017,42917.46,7,1,11,28.2
7/1/2017,42917.50,7,1,12,28.3
7/1/2017,42917.54,7,1,13,28.48
7/1/2017,42917.58,7,1,14,28.77
7/1/2017,42917.63,7,1,15,29.23
7/1/2017,42917.67,7,1,16,29.3
7/1/2017,42917.71,7,1,17,29.5
7/1/2017,42917.75,7,1,18,29.66
7/1/2017,42917.79,7,1,19,29.52
7/1/2017,42917.83,7,1,20,29.46
7/1/2017,42917.88,7,1,21,29.58
7/1/2017,42917.92,7,1,22,29.37
7/1/2017,42917.96,7,1,23,29.17
7/2/2017,42918.00,7,2,0,29
7/2/2017,42918.04,7,2,1,28.81
7/2/2017,42918.08,7,2,2,28.66
7/2/2017,42918.13,7,2,3,28.6
7/2/2017,42918.17,7,2,4,28.56
7/2/2017,42918.21,7,2,5,28.5
7/2/2017,42918.25,7,2,6,28.43
7/2/2017,42918.29,7,2,7,28.32
7/2/2017,42918.33,7,2,8,28.26
7/2/2017,42918.38,7,2,9,28.2
7/2/2017,42918.42,7,2,10,28.2
7/2/2017,42918.46,7,2,11,28.2
7/2/2017,42918.50,7,2,12,28.26
7/2/2017,42918.54,7,2,13,28.4
7/2/2017,42918.58,7,2,14,28.59
7/2/2017,42918.63,7,2,15,28.95
7/2/2017,42918.67,7,2,16,29.15
7/2/2017,42918.71,7,2,17,29.29
7/2/2017,42918.75,7,2,18,29.38
7/2/2017,42918.79,7,2,19,29.39
7/2/2017,42918.83,7,2,20,29.45
7/2/2017,42918.88,7,2,21,29.46
7/2/2017,42918.92,7,2,22,29.27
7/2/2017,42918.96,7,2,23,29.09
7/3/2017,42919.00,7,3,0,29
7/3/2017,42919.04,7,3,1,28.89
7/3/2017,42919.08,7,3,2,28.74
7/3/2017,42919.13,7,3,3,28.6
7/3/2017,42919.17,7,3,4,28.51
7/3/2017,42919.21,7,3,5,28.42
7/3/2017,42919.25,7,3,6,28.4
7/3/2017,42919.29,7,3,7,28.33
7/3/2017,42919.33,7,3,8,28.23
7/3/2017,42919.38,7,3,9,28.26
7/3/2017,42919.42,7,3,10,28.2
7/3/2017,42919.46,7,3,11,28.2
7/3/2017,42919.50,7,3,12,28.2
7/3/2017,42919.54,7,3,13,28.31
7/3/2017,42919.58,7,3,14,28.49
7/3/2017,42919.63,7,3,15,28.9
7/3/2017,42919.67,7,3,16,29.26
7/3/2017,42919.71,7,3,17,29.41
7/3/2017,42919.75,7,3,18,29.41
7/3/2017,42919.79,7,3,19,29.45
7/3/2017,42919.83,7,3,20,29.42
7/3/2017,42919.88,7,3,21,29.35
7/3/2017,42919.92,7,3,22,29.22
7/3/2017,42919.96,7,3,23,29.17
7/4/2017,42920.00,7,4,0,28.95
7/4/2017,42920.04,7,4,1,28.85
7/4/2017,42920.08,7,4,2,28.72
7/4/2017,42920.13,7,4,3,28.68
7/4/2017,42920.17,7,4,4,28.44
7/4/2017,42920.21,7,4,5,28.35
7/4/2017,42920.25,7,4,6,28.3
7/4/2017,42920.29,7,4,7,28.3
7/4/2017,42920.33,7,4,8,28.3
7/4/2017,42920.38,7,4,9,28.28
7/4/2017,42920.42,7,4,10,28.2
7/4/2017,42920.46,7,4,11,28.2
7/4/2017,42920.50,7,4,12,28.31
7/4/2017,42920.54,7,4,13,28.52
7/4/2017,42920.58,7,4,14,28.75
7/4/2017,42920.63,7,4,15,29.13
7/4/2017,42920.67,7,4,16,29.49
7/4/2017,42920.71,7,4,17,29.61
7/4/2017,42920.75,7,4,18,29.54
7/4/2017,42920.79,7,4,19,29.58
7/4/2017,42920.83,7,4,20,29.7
7/4/2017,42920.88,7,4,21,29.6
7/4/2017,42920.92,7,4,22,29.58
7/4/2017,42920.96,7,4,23,29.4
7/5/2017,42921.00,7,5,0,29.23
7/5/2017,42921.04,7,5,1,29.08
7/5/2017,42921.08,7,5,2,29
7/5/2017,42921.13,7,5,3,28.87
7/5/2017,42921.17,7,5,4,28.71
7/5/2017,42921.21,7,5,5,28.7
7/5/2017,42921.25,7,5,6,28.7
7/5/2017,42921.29,7,5,7,28.64
7/5/2017,42921.33,7,5,8,28.6
7/5/2017,42921.38,7,5,9,28.6
7/5/2017,42921.42,7,5,10,28.58
7/5/2017,42921.46,7,5,11,28.6
7/5/2017,42921.50,7,5,12,28.6
7/5/2017,42921.54,7,5,13,28.61
7/5/2017,42921.58,7,5,14,28.75
7/5/2017,42921.63,7,5,15,28.92
7/5/2017,42921.67,7,5,16,29.24
7/5/2017,42921.71,7,5,17,29.42
7/5/2017,42921.75,7,5,18,29.62
7/5/2017,42921.79,7,5,19,29.87
7/5/2017,42921.83,7,5,20,29.91
7/5/2017,42921.88,7,5,21,29.74
7/5/2017,42921.92,7,5,22,29.64
7/5/2017,42921.96,7,5,23,29.48
7/6/2017,42922.00,7,6,0,29.28
7/6/2017,42922.04,7,6,1,29.08
7/6/2017,42922.08,7,6,2,28.93
7/6/2017,42922.13,7,6,3,28.83
7/6/2017,42922.17,7,6,4,28.71
7/6/2017,42922.21,7,6,5,28.55
7/6/2017,42922.25,7,6,6,28.49
7/6/2017,42922.29,7,6,7,28.4
7/6/2017,42922.33,7,6,8,28.4
7/6/2017,42922.38,7,6,9,28.36
7/6/2017,42922.42,7,6,10,28.3
7/6/2017,42922.46,7,6,11,28.33
7/6/2017,42922.50,7,6,12,28.45
7/6/2017,42922.54,7,6,13,28.61
7/6/2017,42922.58,7,6,14,28.84
7/6/2017,42922.63,7,6,15,29.23
7/6/2017,42922.67,7,6,16,29.51
7/6/2017,42922.71,7,6,17,29.68
7/6/2017,42922.75,7,6,18,29.88
7/6/2017,42922.79,7,6,19,29.84
7/6/2017,42922.83,7,6,20,29.62
7/6/2017,42922.88,7,6,21,29.6
7/6/2017,42922.92,7,6,22,29.56
7/6/2017,42922.96,7,6,23,29.38
7/7/2017,42923.00,7,7,0,29.14
7/7/2017,42923.04,7,7,1,29.15
7/7/2017,42923.08,7,7,2,28.96
7/7/2017,42923.13,7,7,3,28.9
7/7/2017,42923.17,7,7,4,28.81
7/7/2017,42923.21,7,7,5,28.7
7/7/2017,42923.25,7,7,6,28.7
7/7/2017,42923.29,7,7,7,28.64
7/7/2017,42923.33,7,7,8,28.6
7/7/2017,42923.38,7,7,9,28.51
7/7/2017,42923.42,7,7,10,28.48
7/7/2017,42923.46,7,7,11,28.54
7/7/2017,42923.50,7,7,12,28.61
7/7/2017,42923.54,7,7,13,28.73
7/7/2017,42923.58,7,7,14,28.88
7/7/2017,42923.63,7,7,15,29.33
7/7/2017,42923.67,7,7,16,29.71
7/7/2017,42923.71,7,7,17,29.67
7/7/2017,42923.75,7,7,18,29.74
7/7/2017,42923.79,7,7,19,30.21
7/7/2017,42923.83,7,7,20,29.75
7/7/2017,42923.88,7,7,21,29.37
7/7/2017,42923.92,7,7,22,29.55
7/7/2017,42923.96,7,7,23,29.3
7/8/2017,42924.00,7,8,0,29.13
7/8/2017,42924.04,7,8,1,29.02
7/8/2017,42924.08,7,8,2,28.9
7/8/2017,42924.13,7,8,3,28.86
7/8/2017,42924.17,7,8,4,28.74
7/8/2017,42924.21,7,8,5,28.7
7/8/2017,42924.25,7,8,6,28.7
7/8/2017,42924.29,7,8,7,28.7
7/8/2017,42924.33,7,8,8,28.7
7/8/2017,42924.38,7,8,9,28.62
7/8/2017,42924.42,7,8,10,28.41
7/8/2017,42924.46,7,8,11,28.52
7/8/2017,42924.50,7,8,12,28.6
7/8/2017,42924.54,7,8,13,28.73
7/8/2017,42924.58,7,8,14,29.11
7/8/2017,42924.63,7,8,15,29.54
7/8/2017,42924.67,7,8,16,29.76
7/8/2017,42924.71,7,8,17,29.83
7/8/2017,42924.75,7,8,18,29.86
7/8/2017,42924.79,7,8,19,30.05
7/8/2017,42924.83,7,8,20,29.77
7/8/2017,42924.88,7,8,21,29.51
7/8/2017,42924.92,7,8,22,29.27
7/8/2017,42924.96,7,8,23,29.2
7/9/2017,42925.04,7,9,1,28.98
7/9/2017,42925.08,7,9,2,28.9
7/9/2017,42925.13,7,9,3,28.9
7/9/2017,42925.17,7,9,4,28.85
7/9/2017,42925.21,7,9,5,28.8
7/9/2017,42925.25,7,9,6,28.8
7/9/2017,42925.29,7,9,7,28.68
7/9/2017,42925.33,7,9,8,28.75
7/9/2017,42925.38,7,9,9,28.8
7/9/2017,42925.42,7,9,10,28.8
7/9/2017,42925.46,7,9,11,28.8
7/9/2017,42925.50,7,9,12,28.8
7/9/2017,42925.54,7,9,13,28.83
7/9/2017,42925.58,7,9,14,28.99
7/9/2017,42925.63,7,9,15,29.15
7/9/2017,42925.67,7,9,16,29.23
7/9/2017,42925.71,7,9,17,29.28
7/9/2017,42925.79,7,9,19,29.88
7/9/2017,42925.83,7,9,20,29.97
7/9/2017,42925.88,7,9,21,30.1
7/9/2017,42925.92,7,9,22,30.05
7/10/2017,42926.04,7,10,1,29.7
7/10/2017,42926.08,7,10,2,29.7
7/10/2017,42926.13,7,10,3,29.6
7/10/2017,42926.17,7,10,4,29.47
7/10/2017,42926.21,7,10,5,29.4
7/10/2017,42926.25,7,10,6,29.38
7/10/2017,42926.29,7,10,7,29.19
7/10/2017,42926.38,7,10,9,29.1
7/10/2017,42926.42,7,10,10,29.03
7/10/2017,42926.46,7,10,11,29.05
7/10/2017,42926.50,7,10,12,29.17
7/10/2017,42926.54,7,10,13,29.3
7/10/2017,42926.58,7,10,14,29.46
7/10/2017,42926.63,7,10,15,29.62
7/10/2017,42926.67,7,10,16,29.81
7/10/2017,42926.71,7,10,17,30.14
7/10/2017,42926.75,7,10,18,30.25
7/10/2017,42926.79,7,10,19,30.56
7/10/2017,42926.83,7,10,20,30.53
7/10/2017,42926.88,7,10,21,30.58
7/10/2017,42926.92,7,10,22,30.44
7/10/2017,42926.96,7,10,23,30.27
7/11/2017,42927.00,7,11,0,30.1
7/11/2017,42927.04,7,11,1,30.01
7/11/2017,42927.08,7,11,2,29.89
7/11/2017,42927.13,7,11,3,29.56
7/11/2017,42927.17,7,11,4,29.76
7/11/2017,42927.21,7,11,5,29.7
7/11/2017,42927.25,7,11,6,29.65
7/11/2017,42927.29,7,11,7,29.6
7/11/2017,42927.33,7,11,8,29.54
7/11/2017,42927.38,7,11,9,29.43
7/11/2017,42927.42,7,11,10,29.32
7/11/2017,42927.46,7,11,11,29.3
7/11/2017,42927.50,7,11,12,29.37
7/11/2017,42927.54,7,11,13,29.53
7/11/2017,42927.58,7,11,14,29.78
7/11/2017,42927.63,7,11,15,30.13
7/11/2017,42927.67,7,11,16,30.49
7/11/2017,42927.71,7,11,17,30.33
7/11/2017,42927.75,7,11,18,30.35
7/11/2017,42927.79,7,11,19,30.1
7/11/2017,42927.83,7,11,20,29.85
7/11/2017,42927.88,7,11,21,29.8
7/11/2017,42927.92,7,11,22,29.76
7/11/2017,42927.96,7,11,23,29.69
7/12/2017,42928.00,7,12,0,29.6
7/12/2017,42928.04,7,12,1,29.52
7/12/2017,42928.08,7,12,2,29.45
7/12/2017,42928.13,7,12,3,29.32
7/12/2017,42928.17,7,12,4,29.25
7/12/2017,42928.21,7,12,5,29.17
7/12/2017,42928.25,7,12,6,29.1
7/12/2017,42928.29,7,12,7,29.1
7/12/2017,42928.33,7,12,8,29.01
7/12/2017,42928.38,7,12,9,28.9
7/12/2017,42928.42,7,12,10,28.83
7/12/2017,42928.46,7,12,11,28.87
7/12/2017,42928.50,7,12,12,28.9
7/12/2017,42928.54,7,12,13,28.98
7/12/2017,42928.58,7,12,14,29.09
7/12/2017,42928.63,7,12,15,29.38
7/12/2017,42928.67,7,12,16,29.53
7/12/2017,42928.71,7,12,17,29.78
7/12/2017,42928.75,7,12,18,29.96
7/12/2017,42928.79,7,12,19,30.17
7/12/2017,42928.83,7,12,20,30.21
7/12/2017,42928.88,7,12,21,30.1
7/12/2017,42928.92,7,12,22,30.1
7/12/2017,42928.96,7,12,23,30
7/13/2017,42929.00,7,13,0,29.73
7/13/2017,42929.04,7,13,1,29.44
7/13/2017,42929.08,7,13,2,29.42
7/13/2017,42929.13,7,13,3,29.3
7/13/2017,42929.17,7,13,4,29.35
7/13/2017,42929.21,7,13,5,29.16
7/13/2017,42929.25,7,13,6,29.11
7/13/2017,42929.29,7,13,7,29.15
7/13/2017,42929.33,7,13,8,29.02
7/13/2017,42929.38,7,13,9,28.89
7/13/2017,42929.42,7,13,10,28.99
7/13/2017,42929.46,7,13,11,28.89
7/13/2017,42929.50,7,13,12,28.87
7/13/2017,42929.54,7,13,13,28.98
7/13/2017,42929.58,7,13,14,28.93
7/13/2017,42929.63,7,13,15,29
7/13/2017,42929.67,7,13,16,29.09
7/13/2017,42929.71,7,13,17,29.14
7/13/2017,42929.75,7,13,18,29.28
7/13/2017,42929.79,7,13,19,29.33
7/13/2017,42929.83,7,13,20,29.4
7/13/2017,42929.88,7,13,21,29.4
7/13/2017,42929.92,7,13,22,29.42
7/13/2017,42929.96,7,13,23,29.43
7/14/2017,42930.00,7,14,0,29.33
7/14/2017,42930.04,7,14,1,29.32
7/14/2017,42930.08,7,14,2,29.25
7/14/2017,42930.13,7,14,3,29.06
7/14/2017,42930.17,7,14,4,28.93
7/14/2017,42930.21,7,14,5,28.89
7/14/2017,42930.25,7,14,6,28.81
7/14/2017,42930.29,7,14,7,28.8
7/14/2017,42930.33,7,14,8,28.64
7/14/2017,42930.38,7,14,9,28.69
7/14/2017,42930.42,7,14,10,28.75
7/14/2017,42930.46,7,14,11,28.72
7/14/2017,42930.50,7,14,12,28.74
7/14/2017,42930.54,7,14,13,28.82
7/14/2017,42930.58,7,14,14,28.98
7/14/2017,42930.63,7,14,15,29.25
7/14/2017,42930.67,7,14,16,29.52
7/14/2017,42930.71,7,14,17,29.65
7/14/2017,42930.75,7,14,18,29.7
7/14/2017,42930.79,7,14,19,29.75
7/14/2017,42930.83,7,14,20,29.7
7/14/2017,42930.88,7,14,21,29.7
7/14/2017,42930.92,7,14,22,29.63
7/14/2017,42930.96,7,14,23,29.53
7/15/2017,42931.00,7,15,0,29.47
7/15/2017,42931.04,7,15,1,29.36
7/15/2017,42931.08,7,15,2,29.21
7/15/2017,42931.13,7,15,3,29.05
7/15/2017,42931.17,7,15,4,28.96
7/15/2017,42931.21,7,15,5,28.9
7/15/2017,42931.25,7,15,6,28.82
7/15/2017,42931.29,7,15,7,28.72
7/15/2017,42931.33,7,15,8,28.54
